Column1,sentence,new_word,Tokenizer,Label,correct
0,موضوع الإشاعة بتاعة ده لازم يتجاب سليم وحتة واحدة كدة بكل ديوله ومين إلي وراه عشان ما يتكرش تاني ما ينفعش يعدي,وحتة,"['وحت', '##ة']",1,"{'وحتة': ['حتة', 'وحة', 'وحت', 'وتة', 'وحتل', 'وحتش', 'وستة', 'وحشة', 'وشتة', 'وحوة', 'لحتة']}"
1,كنت قاعد بتكلم انا وبابا فمره فحوار اني علي طول برا فقالي يبني احنا لينا حق فيك مش عليك فالاول قعد اتريق بس لما قعد افكر فهمت انهم كل حاجه,فمره,"['فمر', '##ه']",1,"{'فمره': ['مره', 'عمره', 'خمره', 'فكره']}"
2,كنت قاعد بتكلم انا وبابا فمره فحوار اني علي طول برا فقالي يبني احنا لينا حق فيك مش عليك فالاول قعد اتريق بس لما قعد افكر فهمت انهم كل حاجه,فحوار,"['فح', '##وار']",1,"{'فحوار': ['وار', 'حوا', 'فتحوا', 'فار', 'حار', 'فوا', 'فور', 'طوار', 'سوار', 'فلور', 'وحوا', 'فطور', 'حواج', 'ضحوا', 'كوار', 'حوال', 'بحوا', 'احوا', 'دوار', 'فواص', 'حضار', 'لحوا', 'شوار', 'فخار', 'جحوا', 'فظوا', 'فكار', 'فسار', 'فخور', 'تحوا', 'صوار', 'محار', 'فوائ', 'محوا', 'نوار', 'فوات', 'حرار', 'قوار', 'حواد', 'لحار', 'فواك', 'فطار', 'فلوا', 'لحضار', 'لكوار', 'لحواج', 'لحواد', 'لحرار', 'انوار', 'بحوال', 'سشوار', 'يشوار', 'لدوار', 'لشوار', 'فيشار', 'مشوار', 'لقوار', 'لحوال', 'لطوار', 'كسوار']}"
3,اول مرة اطلب قهوة في قهوة فقالي سادة قولتلة ماشي وانا معرفش يعني اية سادا ولما جتلي روحتله تاني قولتلة مكن تحطلي سكر,فقالي,"['فقال', '##ي']",1,"{'فقالي': ['قالي', 'فهالي', 'فعالي', 'تقالي', 'بقالي']}"
4,لحد البيت بتاعنا اتهد,اتهد,"['اته', '##د']",1,"{'اتهد': ['اتد', 'اهد', 'تهد', 'اتبهد', 'اته', 'اتند', 'اتهم', 'اتها', 'اتقد', 'اتخد', 'اتحد', 'اتمد', 'اتغد', 'الهد', 'جتهد', 'اترد']}"
5,ماتديش أي حد حاجه,ماتديش,"['ماتد', '##يش']",1,{}
6,ال انا مافرقش معاهم هما برده مايفرقوش معايا,مافرقش,"['مافر', '##قش']",1,"{'مافرقش': ['مفرش', 'مافبش', 'مافيش', 'مفروش', 'ماتردش', 'ماقرتش', 'مافهمش']}"
7,مفيش زكرا هترجعني,زكرا,"['زك', '##را']",1,"{'زكرا': ['زرا', 'كرا', 'سكرا', 'وكرا', 'زورا', 'لكرا', 'شكرا', 'بكرا']}"
8,تفسح شويه فى المجلس,تفسح,"['تفس', '##ح']",1,{}
9,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,مروتى,"['مرو', '##تى']",1,"{'مروتى': ['متى', 'مرو', 'مرت', 'موت', 'روت', 'مرتب', 'وروت', 'مرسى', 'كروت', 'مكوت', 'مرتي', 'مرور', 'فروت', 'موته', 'مرات', 'مرتف', 'مروا', 'رورى', 'روتا', 'موسى', 'موتو', 'مرتا', 'موتن', 'موتي', 'مستوى', 'مرواح', 'مكوتش', 'مراتك', 'مراتي', 'ضرورى', 'وروتا']}"
10,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,زالفل,"['زال', '##فل']",1,"{'زالفل': ['الفل', 'بالفل']}"
11,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,مافرحتيني,"['مافر', '##حتين', '##ي']",1,{'مافرحتيني': ['مارتيني']}
12,مايستهلش اديته كل حاجه وفي الاخر راح فين,مايستهلش,"['مايست', '##هل', '##ش']",1,{'مايستهلش': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
13,لو مش هتندم مش هتعلم ومش هتعوف انك غلط وان فين الصح وكده,هتعوف,"['هتع', '##وف']",1,{'هتعوف': ['هتشوف']}
14,اسكت بقا قولت النهار هيبان مبانشي قولت الامل هيكون مكانش يبقي تخرس وتخوش ع اوضتك,هيبان,"['هيب', '##ان']",1,"{'هيبان': ['يبان', 'ليبان', 'كيبان']}"
15,اسكت بقا قولت النهار هيبان مبانشي قولت الامل هيكون مكانش يبقي تخرس وتخوش ع اوضتك,مبانشي,"['مبا', '##نشي']",1,{'مبانشي': ['مباني']}
16,مانتوا لسة واخدين اضاضا لو عايز تاخد تانى استنى الدورى الجديد بقى وهتبسط أوى احبيب قلبى,وهتبسط,"['وهت', '##بسط']",1,"{'وهتبسط': ['تبسط', 'اتبسط', 'وانبسط']}"
17,مسمهاش حظ يا جهلة اسمها روح وعزيمة واصرار ع الفوز بس هنقول ايه معذورين متعرفوش عنها حاجة,مسمهاش,"['مسم', '##هاش']",1,"{'مسمهاش': ['سمها', 'مستاش', 'اسمها', 'ملهاش', 'مفهاش', 'قسمها', 'متماش', 'إسمها', 'مالهاش']}"
18,الزمالكاوبه ملهم عمالين يقولولك غور ارحل اتنيل لاجل مايمون عند اهلك دم لكن هنقول ابه جبله,الزمالكاوبه,"['الزمالك', '##اوب', '##ه']",1,{'الزمالكاوبه': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
19,الزمالكاوبه ملهم عمالين يقولولك غور ارحل اتنيل لاجل مايمون عند اهلك دم لكن هنقول ابه جبله,مايمون,"['مايم', '##ون']",1,"{'مايمون': ['مايون', 'مايكون']}"
20,عايزة حد يعملي غسيل مخ عشان ينضف من المنهج الويسخ ده وانسي كل الحشو الي مالوش اي لازمة في حياتنا,الويسخ,"['الوي', '##سخ']",1,"{'الويسخ': ['الويس', 'الويسك', 'الويست']}"
21,بالنسبالي اول خمس دقايق بعد ما اصحي من النوم علطول هما الي بيحدوا مصير اليوم دا بالنسبالي المهم النهاردة صحيت لقيت نضارتي مدشدشة ع الارض,نضارتي,"['نض', '##ارتي']",1,"{'نضارتي': ['ناري', 'نضارات', 'ارتي', 'ناتي', 'نضار', 'ضاري', 'نياتي', 'نضارة', 'نباتي', 'رارتي', 'ناريت', 'نضارا', 'حضاري', 'مارتي', 'نلاتي', 'يارتي', 'طيارتي', 'زيارتي', 'حرارتي']}"
22,ايه الى عاملاه فى نفسها ده تكونش فاهمه نفسها فى السيرك وحتمشى على الحبل ولسه يا ما حنشوف,وحتمشى,"['وحت', '##مش', '##ى']",1,"{'وحتمشى': ['تمشى', 'وحتش', 'وتشى', 'وحتى', 'اتمشى', 'آتمشى', 'نتمشى', 'حيمشى', 'وحتشو']}"
23,ايه الى عاملاه فى نفسها ده تكونش فاهمه نفسها فى السيرك وحتمشى على الحبل ولسه يا ما حنشوف,حنشوف,"['حن', '##شوف']",1,{}
24,موضوع الإشاعة بتاعة ده لازم يتجاب سليم وحتة واحدة كدة بكل ديوله ومين إلي وراه عشان ما يتكرش تاني ما ينفعش يعدي,ديوله,"['ديو', '##له']",2,{'ديوله': ['ديله']}
25,موضوع الإشاعة بتاعة ده لازم يتجاب سليم وحتة واحدة كدة بكل ديوله ومين إلي وراه عشان ما يتكرش تاني ما ينفعش يعدي,يتكرش,"['يتك', '##رش']",2,{}
26,رايحة امتحان الشفوي وعلي إيدي البالطو وأنا نازلة من التاكسي وبحاسبه قالي يا بخت الي هيتجوزك يا دكتورة,البالطو,"['البال', '##طو']",2,{}
27,ياخراشي ع مروتى وجمالها وطيبة قلبها محبتش تزعلنى بعتلي روشتة مصالحة زالفل يخليكى ليا ومتحرمش منك يا جميله ويسعد قلبك ويفرحك زى مافرحتيني,ياخراشي,"['ياخر', '##اش', '##ي']",2,"{'ياخراشي': ['ياراي', 'ياماشي']}"
28,حتى مشروع توسعة كوبرى كليوبترا بقاله اربع سنين واخيرا اتضح له معالم,كليوبترا,"['كلي', '##وبتر', '##ا']",2,{'كليوبترا': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
29,عشان الرغي الكتير هو ذنبه ايه عقده متوثقش بقاله شهرين لا هو ولا متعب جاله عرض مش هيرفض مش عايز يمشي ودا كان باين امبارح,الرغي,"['الرغ', '##ي']",2,"{'الرغي': ['الرغ', 'الغي', 'الري', 'التغي', 'الرخي', 'الرئي', 'الربي', 'الرغم', 'الرصي', 'الصغي']}"
30,مابقاش فى جيبى ولا مليم واحد,مليم,"['ملي', '##م']",2,{}
31,كنت مفحوت جامد فى الشغل اليومين اللى فاتو,مفحوت,"['مف', '##حو', '##ت']",2,"{'مفحوت': ['فوت', 'مفو', 'محو', 'مفت', 'حوت', 'موت', 'محت', 'تفوت', 'يفوت', 'مفوض', 'مسحو', 'مفقو', 'مفهو', 'محتو', 'محطت', 'مفور', 'مكوت', 'لحوت', 'مفرو', 'مفتو', 'محوا', 'مفات', 'فروت', 'محول', 'متحو', 'مفليت', 'مفقود', 'مفتوح', 'مفروض', 'ماكوت', 'ماموت', 'مبعوت', 'مفهوم', 'ماجوت', 'مبيوت', 'متحوط', 'مسحوب', 'مفروش', 'محفظت', 'الحوت', 'مفهوش']}"
32,مانتوا لسة واخدين اضاضا لو عايز تاخد تانى استنى الدورى الجديد بقى وهتبسط أوى احبيب قلبى,اضاضا,"['اضا', '##ضا']",2,"{'اضاضا': ['الاضا', 'اضافا']}"
33,يعني سايب الموضوع برمته وماسك التاء ياسيبويه عصرك وزمانك,برمته,"['برم', '##ته']",2,{'برمته': ['برته']}
34,يعني سايب الموضوع برمته وماسك التاء ياسيبويه عصرك وزمانك,ياسيبويه,"['ياسي', '##بو', '##يه']",2,{'ياسيبويه': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
35,حتى وسط معمعة الحرب يجب أن يتمكن الناس من تلقي الرعاية الطبية آمنين,معمعة,"['معم', '##عة']",2,"{'معمعة': ['عمة', 'معم', 'معة', 'معمو', 'اعمة', 'معمل', 'طعمة', 'عمية', 'جمعة', 'معمي', 'مامع', 'عملة', 'مجموعة', 'امعة', 'متعة', 'لمعة', 'ماعة', 'موعة', 'مهمة', 'معدة', 'معاملة', 'معمولة', 'أعملة', 'معملت', 'محمرة', 'معمول', 'معينة', 'مامعي', 'جامعة', 'معيشة', 'لعملة', 'تعملة', 'مقطعة', 'لجمعة', 'معدية', 'سعمية', 'بعمية', 'معفاة', 'منوعة', 'معقدة', 'معفية', 'مجمدة', 'مزرعة', 'معلقة', 'مسمية', 'معلبة', 'منمية', 'معميه']}"
36,مفيش فايده فى البلد دى نفس الحوادث ونفس الكلام ونفس الهرى من عشرات سنين وبرده مفيش حل وبرده بعد سنه هنشوف نفس الحادثه وهنقول نفس الكلام,الهرى,"['الهر', '##ى']",2,"{'الهرى': ['الى', 'ارى', 'الضهر', 'الزهر', 'الهجر', 'النهر', 'الر', 'اله', 'المهر', 'الكهر', 'الشهر', 'اهر', 'الهز', 'القى', 'الرز', 'الخر', 'الظر', 'الدر', 'الكرسى', 'الكر', 'اشهر', 'الرا', 'الور', 'الرك', 'انهى', 'الغر', 'الفر', 'الري', 'الطر', 'الار', 'الحر', 'الهج', 'الهجرة', 'الرم', 'الرق', 'المهرج', 'الرح', 'الرغ', 'العر', 'الها', 'الشهري', 'المى', 'الرص', 'التر', 'الزهري', 'الكهرب', 'السر', 'الضر', 'الرس', 'المر', 'الرو', 'انهر', 'الرف', 'الرخ', 'الهد', 'الصر', 'الهض', 'الهو', 'الرئ', 'الذر', 'الرب', 'الأر', 'الجر', 'الشر', 'الهم', 'الزر', 'الرج', 'البر', 'الهي', 'هارى', 'الحى', 'القر', 'اهدى', 'الجرس', 'الترف', 'الاري', 'الهيل', 'الفري', 'البرن', 'الطرا', 'الظرف', 'الشرف', 'الحرة', 'الكرة', 'الفرو', 'الغرو', 'الدرج', 'القرع', 'الترح', 'العرض', 'الجري', 'الهول', 'الحري', 'الكرا', 'الارب', 'البنى', 'الهيب', 'الكرو', 'الغرب', 'الحرو', 'الصرف', 'السرد', 'الهام', 'الحرك', 'السرق', 'الطري', 'الزرا', 'العرا', 'البرف', 'الضرو', 'المرش', 'الهضم', 'الخرو', 'الجرا', 'المرك', 'الفرد', 'الدرس', 'الكره', 'الهوي', 'الأرف', 'المرت', 'الحرا', 'انهرد', 'الجرح', 'الارص', 'الهاش', 'المرض', 'البرا', 'الضري', 'الكرز', 'القرن', 'الورق', 'الوري', 'البرت', 'القرف', 'المرب', 'الترق', 'السري', 'البرك', 'الفرق', 'الكري', 'الحرب', 'الغرف', 'الشري', 'العرو', 'العرك', 'الترج', 'المرا', 'المرو', 'الهدو', 'الشرا', 'القرا', 'الكرن', 'الشرط', 'المرس', 'الدرك', 'الكرس', 'الهيد', 'الغرض', 'العرق', 'الورد', 'الارض', 'الأرض', 'الترا', 'الجوى', 'الترب', 'الطرف', 'الطرح', 'الفرن', 'الهدي', 'الارق', 'الارج', 'الهجة', 'الشرق', 'الترم', 'الشرك', 'الغرا', 'المري', 'الحرس', 'القري', 'الفرا', 'الطرق', 'الهدا', 'الضرا', 'الأرب', 'العرب', 'الفرج', 'الارش', 'البري', 'الذري', 'البرج', 'الجرن', 'المرة', 'الخري', 'العرف', 'الحمى', 'الارن', 'الزرق', 'الدرا', 'الحرف', 'الطرد', 'الشرب', 'المرج', 'الهوا', 'الكرت', 'الهاي', 'الأرخ', 'البرد']}"
37,ليه لما تدخل محل في مصر تشتري حاجة وتسأل على سعرها البياع يبوص ليك نظرة فاحصة ماحصة من فوق لتحت بيقيمك قبل ما يديك السعر,فاحصة,"['فاح', '##صة']",2,{'فاحصة': ['فاحة']}
38,ليه لما تدخل محل في مصر تشتري حاجة وتسأل على سعرها البياع يبوص ليك نظرة فاحصة ماحصة من فوق لتحت بيقيمك قبل ما يديك السعر,ماحصة,"['ماح', '##صة']",2,"{'ماحصة': ['ماحص', 'ماحصل']}"
39,انت بني ادم محظوظ جدا لو معندكش حاجة في حياتك تخلي الناس تملقك أو تنافقك علشانها,تملقك,"['تمل', '##قك']",2,"{'تملقك': ['ملق', 'تمل', 'تقك', 'تلق', 'ملك', 'تلك', 'تملا', 'تطلق', 'تعلق', 'تلقت', 'وملك', 'تهلك', 'دملك', 'تلقي', 'ملاك', 'مليك', 'عملك', 'تسلق', 'متلق', 'ملقا', 'تولك', 'تمزق', 'ملقت', 'تحلك', 'تقلق', 'تطلقت', 'تقلقش', 'متلقي', 'تمامك', 'تدليك', 'لملاك', 'يمليك', 'تملاه', 'تكلفك', 'تكلمك']}"
40,واحنا يا حموكشة مش هيبقى جوانا حاجة مستخبية بقى ولا ايه واتاثر باكتر اغنية بحبها بقى,حموكشة,"['حمو', '##كش', '##ة']",2,{'حموكشة': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
41,بالنسبالي اول خمس دقايق بعد ما اصحي من النوم علطول هما الي بيحدوا مصير اليوم دا بالنسبالي المهم النهاردة صحيت لقيت نضارتي مدشدشة ع الارض,مدشدشة,"['مد', '##شد', '##شة']",2,{'مدشدشة': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
42,الاهتمام طلع بيطلب عادي يا نوسه انتي الي مكبرة الموضوع,نوسه,"['نو', '##سه']",2,"{'نوسه': ['نسه', 'وسه', 'نفسه', 'نوعه', 'نونه', 'روسه', 'نوته']}"
43,الحركة بتاعت دي ميعملهاش غير واحد ناقص حقيقة تدفع فلوس في تكريم وهمي علشان تقول انك عالمي وتزيط بيه ع الناس دا قمة النقص,وتزيط,"['وتز', '##يط']",2,"{'وتزيط': ['ويط', 'وزي', 'ومتزي', 'تزي', 'وتي', 'توزي', 'وتشي', 'ونزي', 'وتوي', 'وتني', 'وتيم', 'وتغط', 'وتيك', 'وزيع', 'ومتزين', 'وزتي', 'تزيد', 'وتيا', 'متزي', 'وزين', 'بتزي', 'وتيل', 'تخيط', 'وتبي', 'تزين', 'بتزيد', 'ونزيه', 'متخيط', 'توزيع', 'وتشين', 'متزين', 'وتويا', 'واشيط', 'وتشيه', 'وتبيس', 'وتغطي']}"
44,واستنوا الشكشوكة قريبا ياشكاشيك,الشكشوكة,"['الشك', '##شو', '##كة']",2,{'الشكشوكة': ['الشوكة']}
45,واستنوا الشكشوكة قريبا ياشكاشيك,ياشكاشيك,"['ياش', '##كاش', '##يك']",2,{'ياشكاشيك': ['لم يتم العثور علي إقتراحات مناسبة لهذه الكلمة']}
46,كل الى كان عايز يكدب ويدلس ربنا ياخده,ويدلس,"['ويد', '##لس']",2,"{'ويدلس': ['ولس', 'ويل', 'يدس', 'يلس', 'ويس', 'ودل', 'يدل', 'ويتل', 'وبدل', 'ويله', 'ودلو', 'سيدس', 'ويلر', 'ويلي', 'شيلس', 'ودلي', 'ويخل', 'والس', 'يدلي', 'ودلز', 'صيدل', 'ويال', 'وليس', 'وديل', 'ويلة', 'ويتلي', 'ويخلص', 'وديلا', 'صيدلي']}"
47,تديها طناش تديك انتعاش,طناش,"['طنا', '##ش']",2,"{'طناش': ['طنش', 'طنا', 'ناش', 'بناش', 'رناش', 'دناش', 'لناش', 'تناش', 'مناش']}"
48,تديها طناش تديك انتعاش,انتعاش,"['انت', '##عاش']",2,{'انتعاش': ['انتاش']}
